,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate
111554,2022,1,1,17,1,17/01/2022,AA,AA_CODESHARE,19805,AA,4283,,,,,MQ,20398,MQ,N694AE,4283,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,13342,1334207,33342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45,1050,1041.0,-9.0,0.0,0.0,-1.0,1000-1059,58.0,1139.0,1157.0,3.0,1153,1200.0,7.0,7.0,0.0,0.0,1100-1159,0.0,,0.0,63.0,79.0,18.0,1.0,67.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
273403,2022,1,1,14,5,14/01/2022,AA,AA_CODESHARE,19805,AA,4545,,,,,YX,20452,YX,N444YX,4545,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1337,1332.0,-5.0,0.0,0.0,-1.0,1300-1359,15.0,1347.0,1432.0,23.0,1459,1455.0,-4.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,82.0,83.0,45.0,1.0,184.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
430794,2022,1,1,6,4,06/01/2022,AA,AA_CODESHARE,19805,AA,3199,,,,,OO,20304,OO,N712SK,3199,15323,1532305,35323,TRI,"Bristol/Johnson City/Kingsport, TN",TN,47,Tennessee,54,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,530,522.0,-8.0,0.0,0.0,-1.0,0001-0559,31.0,553.0,721.0,25.0,738,746.0,8.0,8.0,0.0,0.0,0700-0759,0.0,,0.0,188.0,204.0,148.0,1.0,868.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
312790,2022,1,1,4,2,04/01/2022,AA,AA,19805,AA,1566,,,,,AA,19805,AA,N970NN,1566,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,1910,1942.0,32.0,32.0,1.0,2.0,1900-1959,22.0,2004.0,2142.0,12.0,2117,2154.0,37.0,37.0,1.0,2.0,2100-2159,0.0,,0.0,127.0,132.0,98.0,1.0,700.0,3,29.0,0.0,5.0,0.0,3.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
398305,2022,1,1,12,3,12/01/2022,B6,B6,20409,B6,583,,,,,B6,20409,B6,N2102J,583,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,730,724.0,-6.0,0.0,0.0,-1.0,0700-0759,23.0,747.0,1001.0,9.0,1037,1010.0,-27.0,0.0,0.0,-2.0,1000-1059,0.0,,0.0,187.0,166.0,134.0,1.0,944.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
556936,2022,1,1,18,2,18/01/2022,UA,UA_CODESHARE,19977,UA,6336,,,,,YV,20378,YV,N85320,6336,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,1300,,,,,,1300-1359,,,,,1532,,,,,,1500-1559,1.0,A,0.0,212.0,,,1.0,1117.0,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
122833,2022,1,1,7,5,07/01/2022,NK,NK,20416,NK,297,,,,,NK,20416,NK,N627NK,297,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33,1105,,,,,,1100-1159,,,,,1429,,,,,,1400-1459,1.0,B,0.0,204.0,,,1.0,1185.0,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
446057,2022,1,1,5,3,05/01/2022,AS,AS_CODESHARE,19930,AS,3339,,,,,OO,20304,OO,N403SY,3339,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,700,727.0,27.0,27.0,1.0,1.0,0700-0759,11.0,738.0,952.0,12.0,948,1004.0,16.0,16.0,1.0,1.0,0900-0959,0.0,,0.0,108.0,97.0,74.0,1.0,630.0,3,16.0,0.0,0.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
154169,2022,1,1,9,7,09/01/2022,AS,AS_CODESHARE,19930,AS,2166,,,,,QX,19687,QX,N626QX,2166,10713,1071302,30713,BOI,"Boise, ID",ID,16,Idaho,83,14262,1426204,34262,PSP,"Palm Springs, CA",CA,6,California,91,1305,1321.0,16.0,16.0,1.0,1.0,1300-1359,7.0,1328.0,1409.0,3.0,1407,1412.0,5.0,5.0,0.0,0.0,1400-1459,0.0,,0.0,122.0,111.0,101.0,1.0,672.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
178412,2022,1,1,21,5,21/01/2022,WN,WN,19393,WN,480,,,,,WN,19393,WN,N950WN,480,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,2040,2034.0,-6.0,0.0,0.0,-1.0,2000-2059,12.0,2046.0,2217.0,5.0,2250,2222.0,-28.0,0.0,0.0,-2.0,2200-2259,0.0,,0.0,130.0,108.0,91.0,1.0,759.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
